x,y,z
0.0,0.0,0.0
0.0,0.01,0.0005
0.0,0.02,0.004
0.0,0.03,0.006
0.0,0.04,0.0075
0.0,0.05,0.0085
0.0,0.06,0.0095
0.0,0.07,0.0105
0.0,0.08,0.011
0.0,0.09,0.0115
0.0,0.1,0.012
0.0,0.11,0.013
0.0,0.12,0.0135
0.0,0.13,0.0135
0.0,0.14,0.014
0.0,0.15,0.0145
0.0,0.16,0.015
0.0,0.17,0.0155
0.0,0.18,0.0155
0.0,0.19,0.016
0.0,0.2,0.0165
0.0,0.21,0.0165
0.0,0.22,0.017
0.0,0.23,0.017
0.0,0.24,0.0175
0.0,0.25,0.0175
0.0,0.26,0.018
0.0,0.27,0.0185
0.0,0.28,0.0185
0.0,0.29,0.0185
0.0,0.3,0.019
0.0,0.31,0.019
0.0,0.32,0.0195
0.0,0.33,0.0195
0.0,0.34,0.02
0.0,0.35000000000000003,0.02
0.0,0.36,0.0205
0.0,0.37,0.0205
0.0,0.38,0.021
0.0,0.39,0.021
0.0,0.4,0.021
0.0,0.41000000000000003,0.0215
0.0,0.42,0.0215
0.0,0.43,0.022
0.0,0.44,0.022
0.0,0.45,0.022
0.0,0.46,0.0225
0.0,0.47000000000000003,0.0225
0.0,0.48,0.023
0.0,0.49,0.023
0.0,0.5,0.023
0.0,0.51,0.0235
0.0,0.52,0.0235
0.0,0.53,0.024
0.0,0.54,0.024
0.0,0.55,0.024
0.0,0.56,0.0245
0.0,0.5700000000000001,0.0245
0.0,0.58,0.025
0.0,0.59,0.025
0.0,0.6,0.0255
0.0,0.61,0.0255
0.0,0.62,0.0255
0.0,0.63,0.026
0.0,0.64,0.026
0.0,0.65,0.0265
0.0,0.66,0.0265
0.0,0.67,0.027
0.0,0.68,0.027
0.0,0.6900000000000001,0.027
0.0,0.7000000000000001,0.0275
0.0,0.71,0.0275
0.0,0.72,0.028
0.0,0.73,0.028
0.0,0.74,0.0285
0.0,0.75,0.0285
0.0,0.76,0.029
0.0,0.77,0.0295
0.0,0.78,0.0295
0.0,0.79,0.03
0.0,0.8,0.03
0.0,0.81,0.0305
0.0,0.8200000000000001,0.031
0.0,0.8300000000000001,0.031
0.0,0.84,0.0315
0.0,0.85,0.032
0.0,0.86,0.0325
0.0,0.87,0.0325
0.0,0.88,0.033
0.0,0.89,0.0335
0.0,0.9,0.034
0.0,0.91,0.035
0.0,0.92,0.0355
0.0,0.93,0.036
0.0,0.9400000000000001,0.037
0.0,0.9500000000000001,0.038
0.0,0.96,0.039
0.0,0.97,0.0405
0.0,0.98,0.0425
0.0,0.99,0.046
0.0,1.0,0.0
0.01,0.0,0.0
0.01,0.01,0.0005
0.01,0.02,0.0035
0.01,0.03,0.006
0.01,0.04,0.007
0.01,0.05,0.0085
0.01,0.06,0.0095
0.01,0.07,0.01
0.01,0.08,0.011
0.01,0.09,0.0115
0.01,0.1,0.012
0.01,0.11,0.0125
0.01,0.12,0.013
0.01,0.13,0.0135
0.01,0.14,0.014
0.01,0.15,0.0145
0.01,0.16,0.0145
0.01,0.17,0.015
0.01,0.18,0.0155
0.01,0.19,0.016
0.01,0.2,0.016
0.01,0.21,0.0165
0.01,0.22,0.0165
0.01,0.23,0.017
0.01,0.24,0.017
0.01,0.25,0.0175
0.01,0.26,0.018
0.01,0.27,0.018
0.01,0.28,0.0185
0.01,0.29,0.0185
0.01,0.3,0.0185
0.01,0.31,0.019
0.01,0.32,0.019
0.01,0.33,0.0195
0.01,0.34,0.0195
0.01,0.35000000000000003,0.02
0.01,0.36,0.02
0.01,0.37,0.0205
0.01,0.38,0.0205
0.01,0.39,0.0205
0.01,0.4,0.021
0.01,0.41000000000000003,0.021
0.01,0.42,0.0215
0.01,0.43,0.0215
0.01,0.44,0.022
0.01,0.45,0.022
0.01,0.46,0.022
0.01,0.47000000000000003,0.0225
0.01,0.48,0.0225
0.01,0.49,0.023
0.01,0.5,0.023
0.01,0.51,0.023
0.01,0.52,0.0235
0.01,0.53,0.0235
0.01,0.54,0.024
0.01,0.55,0.024
0.01,0.56,0.024
