x,y,z
0.0,0.0,0.0
0.01,0.0,0.0
0.02,0.0,0.0
0.03,0.0,0.0
0.04,0.0,0.0
0.05,0.0,0.0
0.06,0.0,0.0
0.07,0.0,0.0
0.08,0.0,0.0
0.09,0.0,0.0
0.1,0.0,0.0
0.11,0.0,0.0
0.12,0.0,0.0
0.13,0.0,0.0
0.14,0.0,0.0
0.15,0.0,0.0
0.16,0.0,0.0
0.17,0.0,0.0
0.18,0.0,0.0
0.19,0.0,0.0
0.2,0.0,0.0
0.21,0.0,0.0
0.22,0.0,0.0
0.23,0.0,0.0
0.24,0.0,0.0
0.25,0.0,0.0
0.26,0.0,0.0
0.27,0.0,0.0
0.28,0.0,0.0
0.29,0.0,0.0
0.3,0.0,0.0
0.31,0.0,0.0
0.32,0.0,0.0
0.33,0.0,0.0
0.34,0.0,0.0
0.35,0.0,0.0
0.36,0.0,0.0
0.37,0.0,0.0
0.38,0.0,0.0
0.39,0.0,0.0
0.4,0.0,0.0
0.41,0.0,0.0
0.42,0.0,0.0
0.43,0.0,0.0
0.44,0.0,0.0
0.45,0.0,0.0
0.46,0.0,0.0
0.47,0.0,0.0
0.48,0.0,0.0
0.49,0.0,0.0
0.5,0.0,0.0
0.51,0.0,0.0
0.52,0.0,0.0
0.53,0.0,0.0
0.54,0.0,0.0
0.55,0.0,0.0
0.56,0.0,0.0
0.57,0.0,0.0
0.58,0.0,0.0
0.59,0.0,0.0
0.6,0.0,0.0
0.61,0.0,0.0
0.62,0.0,0.0
0.63,0.0,0.0
0.64,0.0,0.0
0.65,0.0,0.0
0.66,0.0,0.0
0.67,0.0,0.0
0.68,0.0,0.0
0.69,0.0,0.0
0.7,0.0,0.0
0.71,0.0,0.0
0.72,0.0,0.0
0.73,0.0,0.0
0.74,0.0,0.0
0.75,0.0,0.0
0.76,0.0,0.0
0.77,0.0,0.0
0.78,0.0,0.0
0.79,0.0,0.0
0.8,0.0,0.0
0.81,0.0,0.0
0.82,0.0,0.0
0.83,0.0,0.0
0.84,0.0,0.0
0.85,0.0,0.0
0.86,0.0,0.0
0.87,0.0,0.0
0.88,0.0,0.0
0.89,0.0,0.0
0.9,0.0,0.0
0.91,0.0,0.0
0.92,0.0,0.0
0.93,0.0,0.0
0.94,0.0,0.0
0.95,0.0,0.0
0.96,0.0,0.0
0.97,0.0,0.0
0.98,0.0,0.0
0.99,0.0,0.0
1.0,0.0,0.0
0.0,0.01,0.0
0.01,0.01,0.0
0.02,0.01,0.0
0.03,0.01,0.0
0.04,0.01,0.0
0.05,0.01,0.0
0.06,0.01,0.0
0.07,0.01,0.0
0.08,0.01,0.0
0.09,0.01,0.0014000000000000002
0.1,0.01,0.0006
0.11,0.01,0.0008
0.12,0.01,0.0
0.13,0.01,0.0
0.14,0.01,0.006
0.15,0.01,0.0064
0.16,0.01,0.0144
0.17,0.01,0.008600000000000002
0.18,0.01,0.048400000000000006
0.19,0.01,0.042
0.2,0.01,0.046
0.21,0.01,0.039400000000000004
0.22,0.01,0.06720000000000001
0.23,0.01,0.05860000000000001
0.24,0.01,0.09820000000000001
0.25,0.01,0.1182
0.26,0.01,0.10580000000000002
0.27,0.01,0.0932
0.28,0.01,0.11680000000000001
0.29,0.01,0.135
0.3,0.01,0.136
0.31,0.01,0.1444
0.32,0.01,0.1544
0.33,0.01,0.1368
0.34,0.01,0.15059999999999998
0.35,0.01,0.15899999999999997
0.36,0.01,0.16060000000000002
0.37,0.01,0.18980000000000005
0.38,0.01,0.1758
0.39,0.01,0.16920000000000002
0.4,0.01,0.18259999999999998
0.41,0.01,0.2052
0.42,0.01,0.1992
0.43,0.01,0.20259999999999997
0.44,0.01,0.19640000000000002
0.45,0.01,0.2236
0.46,0.01,0.21960000000000002
0.47,0.01,0.23580000000000007
0.48,0.01,0.21539999999999998
0.49,0.01,0.19779999999999998
0.5,0.01,0.24680000000000002
0.51,0.01,0.2524
0.52,0.01,0.2646
0.53,0.01,0.23279999999999998
0.54,0.01,0.25780000000000003
0.55,0.01,0.2812
0.56,0.01,0.2618
0.57,0.01,0.2818
0.58,0.01,0.25900000000000006
0.59,0.01,0.2588
0.6,0.01,0.2616
0.61,0.01,0.262
0.62,0.01,0.3036
0.63,0.01,0.2818
0.64,0.01,0.27799999999999997
0.65,0.01,0.3068
0.66,0.01,0.2848
0.67,0.01,0.295
0.68,0.01,0.2892
0.69,0.01,0.30879999999999996
0.7,0.01,0.33840000000000003
0.71,0.01,0.3546
0.72,0.01,0.30619999999999997
0.73,0.01,0.3048
0.74,0.01,0.3442
0.75,0.01,0.3322
0.76,0.01,0.34380000000000005
0.77,0.01,0.29279999999999995
0.78,0.01,0.32480000000000003
0.79,0.01,0.3282
0.8,0.01,0.3264
0.81,0.01,0.3440000000000001
0.82,0.01,0.3312
0.83,0.01,0.3286
0.84,0.01,0.32900000000000007
0.85,0.01,0.3468
0.86,0.01,0.359
0.87,0.01,0.3586
0.88,0.01,0.39360000000000006
0.89,0.01,0.3654
0.9,0.01,0.3604
0.91,0.01,0.3626
0.92,0.01,0.36440000000000006
0.93,0.01,0.38239999999999985
0.94,0.01,0.3856
0.95,0.01,0.3812
0.96,0.01,0.3492
0.97,0.01,0.37479999999999997
0.98,0.01,0.3996
0.99,0.01,0.3896
1.0,0.01,0.38939999999999997
0.0,0.02,0.0
0.01,0.02,0.0
0.02,0.02,0.0
0.03,0.02,0.0
0.04,0.02,0.0
0.05,0.02,0.0
0.06,0.02,0.0
0.07,0.02,0.0
0.08,0.02,0.0
0.09,0.02,0.0
0.1,0.02,0.0002
0.11,0.02,0.0012
0.12,0.02,0.002
0.13,0.02,0.0
0.14,0.02,0.004200000000000001
0.15,0.02,0.0046
0.16,0.02,0.0134
0.17,0.02,0.0196
0.18,0.02,0.0426
0.19,0.02,0.0414
0.2,0.02,0.0654
0.21,0.02,0.0662
0.22,0.02,0.06039999999999999
0.23,0.02,0.0966
0.24,0.02,0.0788
0.25,0.02,0.1228
0.26,0.02,0.1258
0.27,0.02,0.107
0.28,0.02,0.1482
0.29,0.02,0.15660000000000002
0.3,0.02,0.1364
0.31,0.02,0.161
0.32,0.02,0.1716
0.33,0.02,0.1538
0.34,0.02,0.16140000000000002
0.35,0.02,0.18619999999999998
0.36,0.02,0.18179999999999996
0.37,0.02,0.19
0.38,0.02,0.198
0.39,0.02,0.20800000000000002
0.4,0.02,0.22320000000000004
0.41,0.02,0.21779999999999997
0.42,0.02,0.20359999999999995
0.43,0.02,0.21020000000000003
0.44,0.02,0.2382
0.45,0.02,0.23479999999999998
0.46,0.02,0.2304
0.47,0.02,0.2494
0.48,0.02,0.2524
0.49,0.02,0.2286
0.5,0.02,0.25799999999999995
0.51,0.02,0.2568
0.52,0.02,0.2638
0.53,0.02,0.26620000000000005
0.54,0.02,0.286
0.55,0.02,0.281
0.56,0.02,0.2774
0.57,0.02,0.285
0.58,0.02,0.31620000000000004
0.59,0.02,0.27640000000000003
0.6,0.02,0.2976
0.61,0.02,0.2982
0.62,0.02,0.3098
0.63,0.02,0.2808
0.64,0.02,0.3014
0.65,0.02,0.3102
0.66,0.02,0.3046
0.67,0.02,0.3206
0.68,0.02,0.308
0.69,0.02,0.321
0.7,0.02,0.33759999999999996
0.71,0.02,0.3206
0.72,0.02,0.3306
0.73,0.02,0.3234
0.74,0.02,0.331
0.75,0.02,0.3313999999999999
0.76,0.02,0.363
0.77,0.02,0.3418
0.78,0.02,0.35980000000000006
0.79,0.02,0.35259999999999997
0.8,0.02,0.35519999999999996
0.81,0.02,0.349
0.82,0.02,0.36920000000000003
0.83,0.02,0.38219999999999993
0.84,0.02,0.35600000000000004
0.85,0.02,0.3594
0.86,0.02,0.39019999999999994
0.87,0.02,0.37239999999999995
0.88,0.02,0.35979999999999995
0.89,0.02,0.36780000000000007
0.9,0.02,0.38159999999999994
0.91,0.02,0.38420000000000004
0.92,0.02,0.3714
0.93,0.02,0.3684000000000001
0.94,0.02,0.38120000000000004
0.95,0.02,0.3949999999999999
0.96,0.02,0.3858
0.97,0.02,0.3966000000000001
0.98,0.02,0.3942000000000001
0.99,0.02,0.39899999999999997
1.0,0.02,0.3884
0.0,0.03,0.0
0.01,0.03,0.0
0.02,0.03,0.0
0.03,0.03,0.0
0.04,0.03,0.0
0.05,0.03,0.0
0.06,0.03,0.0
0.07,0.03,0.0
0.08,0.03,0.0
0.09,0.03,0.0
0.1,0.03,0.0
0.11,0.03,0.0
0.12,0.03,0.0
0.13,0.03,0.0016
0.14,0.03,0.0032
0.15,0.03,0.0074
0.16,0.03,0.027000000000000003
0.17,0.03,0.0298
0.18,0.03,0.032400000000000005
0.19,0.03,0.0592
0.2,0.03,0.0528
0.21,0.03,0.08680000000000002
0.22,0.03,0.10099999999999999
0.23,0.03,0.06960000000000001
0.24,0.03,0.099
0.25,0.03,0.1142
0.26,0.03,0.10679999999999999
0.27,0.03,0.1322
0.28,0.03,0.1228
0.29,0.03,0.1542
0.3,0.03,0.1728
0.31,0.03,0.18739999999999998
0.32,0.03,0.137
0.33,0.03,0.16579999999999998
0.34,0.03,0.19560000000000002
0.35,0.03,0.20140000000000005
0.36,0.03,0.1912
0.37,0.03,0.2114
0.38,0.03,0.204
0.39,0.03,0.2174
0.4,0.03,0.1974
0.41,0.03,0.23199999999999998
0.42,0.03,0.2302
0.43,0.03,0.22979999999999992
0.44,0.03,0.23199999999999998
0.45,0.03,0.2482
0.46,0.03,0.2426
0.47,0.03,0.25020000000000003
0.48,0.03,0.23719999999999997
0.49,0.03,0.2506
0.5,0.03,0.24719999999999998
0.51,0.03,0.2708
0.52,0.03,0.3014
0.53,0.03,0.27440000000000003
0.54,0.03,0.26299999999999996
0.55,0.03,0.28380000000000005
0.56,0.03,0.27940000000000004
0.57,0.03,0.2758
0.58,0.03,0.28800000000000003
0.59,0.03,0.2884
0.6,0.03,0.286
0.61,0.03,0.31679999999999997
0.62,0.03,0.2934
0.63,0.03,0.307
0.64,0.03,0.315
0.65,0.03,0.3096
0.66,0.03,0.31679999999999997
0.67,0.03,0.3044
0.68,0.03,0.3134
0.69,0.03,0.32439999999999997
0.7,0.03,0.3318
0.71,0.03,0.3468
0.72,0.03,0.3194
0.73,0.03,0.32699999999999996
0.74,0.03,0.33340000000000003
0.75,0.03,0.33699999999999997
0.76,0.03,0.3358
0.77,0.03,0.34259999999999996
0.78,0.03,0.3648
0.79,0.03,0.36140000000000005
0.8,0.03,0.3404
0.81,0.03,0.34119999999999995
0.82,0.03,0.3786
0.83,0.03,0.3636
0.84,0.03,0.369
0.85,0.03,0.36900000000000005
0.86,0.03,0.36939999999999995
0.87,0.03,0.38719999999999993
0.88,0.03,0.38339999999999996
0.89,0.03,0.37440000000000007
0.9,0.03,0.38439999999999996
0.91,0.03,0.40159999999999996
0.92,0.03,0.376
0.93,0.03,0.39860000000000007
0.94,0.03,0.3812
0.95,0.03,0.3798
0.96,0.03,0.40019999999999994
0.97,0.03,0.37079999999999996
0.98,0.03,0.413
0.99,0.03,0.38260000000000005
1.0,0.03,0.41359999999999997
0.0,0.04,0.0
0.01,0.04,0.0
0.02,0.04,0.0
0.03,0.04,0.0
0.04,0.04,0.0
0.05,0.04,0.0
0.06,0.04,0.0
0.07,0.04,0.0
0.08,0.04,0.0
0.09,0.04,0.0026
0.1,0.04,0.0
0.11,0.04,0.005
0.12,0.04,0.0016
0.13,0.04,0.0
0.14,0.04,0.0064
0.15,0.04,0.0108
0.16,0.04,0.016
0.17,0.04,0.029200000000000004
0.18,0.04,0.048600000000000004
0.19,0.04,0.05260000000000001
0.2,0.04,0.047599999999999996
0.21,0.04,0.079
0.22,0.04,0.0888
0.23,0.04,0.0962
0.24,0.04,0.0932
0.25,0.04,0.0962
0.26,0.04,0.12639999999999998
0.27,0.04,0.127
0.28,0.04,0.1574
0.29,0.04,0.153
0.3,0.04,0.165
0.31,0.04,0.16899999999999998
0.32,0.04,0.1882
0.33,0.04,0.16599999999999998
0.34,0.04,0.16899999999999998
0.35,0.04,0.2002
0.36,0.04,0.2182
0.37,0.04,0.1948
0.38,0.04,0.22
0.39,0.04,0.1784
0.4,0.04,0.206
0.41,0.04,0.23399999999999996
0.42,0.04,0.2394
0.43,0.04,0.23120000000000002
0.44,0.04,0.24240000000000003
0.45,0.04,0.23019999999999996
0.46,0.04,0.23800000000000004
0.47,0.04,0.24840000000000004
0.48,0.04,0.23919999999999997
0.49,0.04,0.25560000000000005
0.5,0.04,0.2594000000000001
0.51,0.04,0.2574
0.52,0.04,0.27240000000000003
0.53,0.04,0.2706
0.54,0.04,0.2844
0.55,0.04,0.28800000000000003
0.56,0.04,0.291
0.57,0.04,0.2932
0.58,0.04,0.2974
0.59,0.04,0.30500000000000005
0.6,0.04,0.31079999999999997
0.61,0.04,0.28659999999999997
0.62,0.04,0.3094
0.63,0.04,0.3172
0.64,0.04,0.325
0.65,0.04,0.31960000000000005
0.66,0.04,0.3158
0.67,0.04,0.33340000000000003
0.68,0.04,0.34659999999999996
0.69,0.04,0.3184
0.7,0.04,0.32760000000000006
0.71,0.04,0.32839999999999997
0.72,0.04,0.31859999999999994
0.73,0.04,0.3373999999999999
0.74,0.04,0.3434
0.75,0.04,0.344
0.76,0.04,0.3418
0.77,0.04,0.37
0.78,0.04,0.35680000000000006
0.79,0.04,0.38739999999999997
0.8,0.04,0.357
0.81,0.04,0.3296
0.82,0.04,0.357
0.83,0.04,0.3428
0.84,0.04,0.3678
0.85,0.04,0.3628
0.86,0.04,0.35379999999999995
0.87,0.04,0.36979999999999996
0.88,0.04,0.38079999999999997
0.89,0.04,0.35479999999999995
0.9,0.04,0.38520000000000004
0.91,0.04,0.3807999999999999
0.92,0.04,0.3932
0.93,0.04,0.386
0.94,0.04,0.3796
0.95,0.04,0.4000000000000001
0.96,0.04,0.385
0.97,0.04,0.4039999999999999
0.98,0.04,0.3994
0.99,0.04,0.39039999999999997
1.0,0.04,0.3962
0.0,0.05,0.0
0.01,0.05,0.0
0.02,0.05,0.0
0.03,0.05,0.0
0.04,0.05,0.0
0.05,0.05,0.0
0.06,0.05,0.0
0.07,0.05,0.0
0.08,0.05,0.0
0.09,0.05,0.0
0.1,0.05,0.0
0.11,0.05,0.0
0.12,0.05,0.0012
0.13,0.05,0.005
0.14,0.05,0.011000000000000001
0.15,0.05,0.018600000000000002
0.16,0.05,0.0208
0.17,0.05,0.0366
0.18,0.05,0.0378
0.19,0.05,0.056799999999999996
0.2,0.05,0.0736
0.21,0.05,0.0492
0.22,0.05,0.0898
0.23,0.05,0.1032
0.24,0.05,0.0978
0.25,0.05,0.11719999999999998
0.26,0.05,0.13240000000000002
0.27,0.05,0.14679999999999999
0.28,0.05,0.1542
0.29,0.05,0.1574
0.3,0.05,0.16620000000000001
0.31,0.05,0.15139999999999998
0.32,0.05,0.168
0.33,0.05,0.17680000000000004
0.34,0.05,0.1956
0.35,0.05,0.19380000000000003
0.36,0.05,0.20440000000000003
0.37,0.05,0.1968
0.38,0.05,0.17819999999999997
0.39,0.05,0.20199999999999996
0.4,0.05,0.21000000000000005
0.41,0.05,0.2372
0.42,0.05,0.22300000000000003
0.43,0.05,0.2346
0.44,0.05,0.23819999999999997
0.45,0.05,0.24599999999999997
0.46,0.05,0.2554
0.47,0.05,0.26519999999999994
0.48,0.05,0.24359999999999998
0.49,0.05,0.2834
0.5,0.05,0.23759999999999998
0.51,0.05,0.2634
0.52,0.05,0.27459999999999996
0.53,0.05,0.2718
0.54,0.05,0.273
0.55,0.05,0.2954
0.56,0.05,0.29700000000000004
0.57,0.05,0.2782
0.58,0.05,0.2982
0.59,0.05,0.28480000000000005
0.6,0.05,0.299
0.61,0.05,0.2946
0.62,0.05,0.3002
0.63,0.05,0.321
0.64,0.05,0.3218000000000001
0.65,0.05,0.3106
0.66,0.05,0.3148
0.67,0.05,0.32720000000000005
0.68,0.05,0.3138
0.69,0.05,0.2992
0.7,0.05,0.3288
0.71,0.05,0.3184
0.72,0.05,0.3386
0.73,0.05,0.3354000000000001
0.74,0.05,0.3509999999999999
0.75,0.05,0.3432
0.76,0.05,0.35600000000000004
0.77,0.05,0.34779999999999994
0.78,0.05,0.3482
0.79,0.05,0.34680000000000005
0.8,0.05,0.34480000000000005
0.81,0.05,0.35680000000000006
0.82,0.05,0.35159999999999997
0.83,0.05,0.3682000000000001
0.84,0.05,0.3458
0.85,0.05,0.36719999999999997
0.86,0.05,0.36339999999999995
0.87,0.05,0.3668
0.88,0.05,0.3802
0.89,0.05,0.3664
0.9,0.05,0.3886
0.91,0.05,0.38500000000000006
0.92,0.05,0.3822
0.93,0.05,0.369
0.94,0.05,0.38760000000000006
0.95,0.05,0.41100000000000003
0.96,0.05,0.39840000000000003
0.97,0.05,0.3768
0.98,0.05,0.39840000000000003
0.99,0.05,0.3793999999999999
1.0,0.05,0.39959999999999996
0.0,0.06,0.0
0.01,0.06,0.0
0.02,0.06,0.0
0.03,0.06,0.0
0.04,0.06,0.0
0.05,0.06,0.0
0.06,0.06,0.0
0.07,0.06,0.0
0.08,0.06,0.0
0.09,0.06,0.0
0.1,0.06,0.0002
0.11,0.06,0.0006
0.12,0.06,0.0012
0.13,0.06,0.0048
0.14,0.06,0.002
0.15,0.06,0.0052
0.16,0.06,0.0388
0.17,0.06,0.0284
0.18,0.06,0.042
0.19,0.06,0.054400000000000004
0.2,0.06,0.07020000000000001
0.21,0.06,0.0654
0.22,0.06,0.091
0.23,0.06,0.09639999999999999
0.24,0.06,0.1362
0.25,0.06,0.11220000000000001
0.26,0.06,0.114
0.27,0.06,0.12140000000000001
0.28,0.06,0.1356
0.29,0.06,0.1708
0.3,0.06,0.17139999999999997
0.31,0.06,0.185
0.32,0.06,0.19319999999999996
0.33,0.06,0.187
0.34,0.06,0.1934
0.35,0.06,0.18160000000000004
0.36,0.06,0.2132
0.37,0.06,0.21900000000000003
0.38,0.06,0.2024
0.39,0.06,0.21720000000000003
0.4,0.06,0.2348
0.41,0.06,0.2404
0.42,0.06,0.23779999999999998
0.43,0.06,0.2314
0.44,0.06,0.23479999999999998
0.45,0.06,0.2296
0.46,0.06,0.23720000000000002
0.47,0.06,0.2508
0.48,0.06,0.255
0.49,0.06,0.2604
0.5,0.06,0.23440000000000003
0.51,0.06,0.2662
0.52,0.06,0.2748
0.53,0.06,0.2864
0.54,0.06,0.26580000000000004
0.55,0.06,0.2944
0.56,0.06,0.2744
0.57,0.06,0.2988
0.58,0.06,0.2962
0.59,0.06,0.27659999999999996
0.6,0.06,0.311
0.61,0.06,0.3024
0.62,0.06,0.305
0.63,0.06,0.3042
0.64,0.06,0.3018
0.65,0.06,0.3068
0.66,0.06,0.3102
0.67,0.06,0.3360000000000001
0.68,0.06,0.3246
0.69,0.06,0.3204
0.7,0.06,0.336
0.71,0.06,0.31880000000000003
0.72,0.06,0.3504
0.73,0.06,0.3458
0.74,0.06,0.33760000000000007
0.75,0.06,0.3458
0.76,0.06,0.3444
0.77,0.06,0.36739999999999995
0.78,0.06,0.33879999999999993
0.79,0.06,0.35240000000000005
0.8,0.06,0.3486
0.81,0.06,0.3626
0.82,0.06,0.3575999999999999
0.83,0.06,0.357
0.84,0.06,0.3552
0.85,0.06,0.3827999999999999
0.86,0.06,0.3654
0.87,0.06,0.371
0.88,0.06,0.3726
0.89,0.06,0.3631999999999999
0.9,0.06,0.371
0.91,0.06,0.3774
0.92,0.06,0.38280000000000003
0.93,0.06,0.38659999999999994
0.94,0.06,0.3872
0.95,0.06,0.3864
0.96,0.06,0.38280000000000003
0.97,0.06,0.3868
0.98,0.06,0.381
0.99,0.06,0.40979999999999994
1.0,0.06,0.41540000000000005
0.0,0.07,0.0
0.01,0.07,0.0
0.02,0.07,0.0
0.03,0.07,0.0
0.04,0.07,0.0
0.05,0.07,0.0
0.06,0.07,0.0
0.07,0.07,0.0
0.08,0.07,0.0
0.09,0.07,0.0
0.1,0.07,0.0008
0.11,0.07,0.0
0.12,0.07,0.0026
0.13,0.07,0.0028000000000000004
0.14,0.07,0.0082
0.15,0.07,0.0106
0.16,0.07,0.0218
0.17,0.07,0.0294
0.18,0.07,0.0476
0.19,0.07,0.056400000000000006
0.2,0.07,0.07600000000000001
0.21,0.07,0.0782
0.22,0.07,0.0744
0.23,0.07,0.11220000000000001
0.24,0.07,0.11180000000000001
0.25,0.07,0.1274
0.26,0.07,0.1412
0.27,0.07,0.131
0.28,0.07,0.15259999999999999
0.29,0.07,0.1476
0.3,0.07,0.1524
0.31,0.07,0.15439999999999998
0.32,0.07,0.18780000000000002
0.33,0.07,0.18280000000000002
0.34,0.07,0.1844
0.35,0.07,0.1934
0.36,0.07,0.20619999999999997
0.37,0.07,0.21660000000000004
0.38,0.07,0.20879999999999999
0.39,0.07,0.2218
0.4,0.07,0.2226
0.41,0.07,0.22740000000000002
